image,category,response,correct,RT,IT,MT,block,trial,pressure,mapping,block_start_global,trial_start_global,fixation_onset_global,stim_onset_global,movement_start_global,response_time_global,timeout_time_global
Nonliving_Things\Vehicles\ship.jpg,nonliving,right,1,1.9900984000123572,0.11080910000600852,1.8792893000063486,3,8,normal,left,123.75173290001112,135.8975591000053,135.9185796000238,136.36280760000227,136.46891630001483,138.3363903000136,
Living_Things\Trees\willow.jpg,living,left,1,1.0319278000097256,0.020052700012456626,1.011875099997269,3,9,normal,left,123.75173290001112,138.34814490002464,138.3689598000201,138.81946970001445,138.83536399999866,139.83625580000808,
Living_Things\Insects\praying_mantis.jpg,living,left,1,0.9198053000145592,0.22517440002411604,0.6946308999904431,3,10,normal,left,123.75173290001112,139.84722019999754,139.86865850002505,140.31476860001567,140.53564100002404,141.21947480001836,
Living_Things\Insects\centipede.jpg,living,left,1,1.0227101000200491,0.010128100024303421,1.0125819999957457,3,11,normal,left,123.75173290001112,141.23018860002048,141.2519992000016,141.69596959999762,141.70217180001782,142.70273310001357,
Nonliving_Things\Vehicles\cart.jpg,nonliving,right,1,0.9578718999982812,0.09556360001442954,0.8623082999838516,3,12,normal,left,123.75173290001112,142.71472850002465,142.7353737000085,143.17911620001541,143.2691675000242,144.11952010000823,
Living_Things\Animals\horse.jpg,living,left,1,1.4735625000030268,0.0111105999967549,1.462451900006272,3,13,normal,left,123.75173290001112,144.13146520001465,144.1525879999972,144.59708750000573,144.60210550000193,146.0532632000104,
Nonliving_Things\Vehicles\scooter.jpg,nonliving,right,1,1.2310661999799777,0.018287099985172972,1.2127790999948047,3,14,normal,left,123.75173290001112,146.06454230000963,146.08570779999718,146.52081129999715,146.53559280000627,147.736587100022,
Nonliving_Things\Kitchen_Uten\fork.jpg,nonliving,right,1,0.8551919999881648,0.009969499980797991,0.8452225000073668,3,15,normal,left,123.75173290001112,147.7483460000076,147.7689318000048,148.2129302000103,148.21909260001848,149.05328660001396,
Nonliving_Things\Kitchen_Uten\sharpening_steel.jpg,nonliving,right,1,1.0045427000150084,0.05886530000134371,0.9456774000136647,3,16,normal,left,123.75173290001112,149.0642741000047,149.08603780000703,149.53191760001937,149.58593030000338,150.5199971999973,
Living_Things\Animals\zebra.jpg,living,left,1,0.9858791999868117,0.011785799986682832,0.9740934000001289,3,17,normal,left,123.75173290001112,150.53153840001323,150.55219320001197,151.0026455000043,151.00794930002303,151.97035250000772,
Nonliving_Things\Buildings\church.jpg,nonliving,right,1,1.022954199986998,0.011812999990070239,1.0111411999969278,3,18,normal,left,123.75173290001112,151.9819919000147,152.0022763000161,152.44587490000413,152.45249210001202,153.4533315000008,
Living_Things\Animals\lioness.jpg,living,left,1,1.2278576999960933,0.014994400000432506,1.2128632999956608,3,19,normal,left,123.75173290001112,153.46359369999846,153.48570469999686,153.9267445000005,153.93565210001543,155.13648890002514,
Living_Things\Trees\black_poplar.jpg,living,left,1,1.392362399987178,0.014339899993501604,1.3780224999936763,3,20,normal,left,123.75173290001112,155.14850239999942,155.16890910000075,155.61003290000372,155.61920340001234,156.98658670001896,
Nonliving_Things\Vehicles\tractor.jpg,nonliving,right,1,1.040642099978868,0.14507079997565597,0.895571300003212,3,21,normal,left,123.75173290001112,156.99719160000677,157.01911930000642,157.4628050000174,157.60247370001161,158.4864875000203,
Nonliving_Things\Musical_Inst\clarinet.jpg,nonliving,right,1,0.8750541000044905,0.063063699984923,0.8119904000195675,3,22,normal,left,123.75173290001112,158.49800940000569,158.51924350002082,158.96215590002248,159.01922220000415,159.82007129999693,
Nonliving_Things\Musical_Inst\trumpet.jpg,nonliving,right,1,0.9049923000275157,0.009773199999472126,0.8952191000280436,3,23,normal,left,123.75173290001112,159.83119100000476,159.85238220001338,160.2968250999984,160.30259790000855,161.18681710000965,
Nonliving_Things\Musical_Inst\tuba.jpg,nonliving,right,1,0.7930667000182439,0.014430600014748052,0.7786361000034958,3,24,normal,left,123.75173290001112,161.1977901000064,161.21924190002028,161.66098670000792,161.66905009999755,162.43677770000068,
Nonliving_Things\Buildings\granary.jpg,nonliving,right,1,0.7263842000102159,0.013837500009685755,0.7125467000005301,3,25,normal,left,123.75173290001112,162.44767950000823,162.46911570001976,162.90963660000125,162.91926789999707,163.61984190001385,
Living_Things\Insects\fly.jpg,living,left,1,0.7996109999949113,0.007957099995110184,0.7916538999998011,3,26,normal,left,123.75173290001112,163.63178550000885,163.652470800007,164.1013048000168,164.10533920000307,164.8863586000225,
Nonliving_Things\Kitchen_Uten\teapot.jpg,nonliving,right,1,0.9975630000117235,0.08561720000579953,0.911945800005924,3,27,normal,left,123.75173290001112,164.89697070000693,164.91917660000036,165.3773371000134,165.45296340002096,166.35347920001368,
